id,name,symbol,price_eur,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,max_supply,circulating_supply,infinite_supply
52,XRP,XRP,0.4850285896243161,0.10067361,-0.72915558,-3.79700345,2024-10-25T14:58:05.000Z,100000000000.0,56756356815.0,False
74,Dogecoin,DOGE,0.1273993522229498,-0.18198949,-2.14525576,1.63973136,2024-10-25T14:58:05.000Z,,146515016383.7052,True
1958,TRON,TRX,0.1533996859414639,-0.20664228,1.78404047,4.50007388,2024-10-25T14:58:05.000Z,,86490431529.13467,True
11419,Toncoin,TON,4.637788255694098,-0.23746914,-2.27245077,-3.7339392,2024-10-25T14:58:05.000Z,,2541822963.966331,True
1,Bitcoin,BTC,61924.77581539629,-0.32943912,-2.05788182,-2.57696164,2024-10-25T19:58:05.000Z,21000000.0,19772928.0,False
1027,Ethereum,ETH,2292.423835395234,-0.38201913,-2.4506209,-6.62931678,2024-10-25T19:58:05.000Z,,120397409.21756904,True
825,Tether USDt,USDT,0.9246881275146298,-0.03626009,-0.12651876,-0.17170696,2024-10-25T19:58:05.000Z,,120301926990.84663,True
1839,BNB,BNB,541.6049649189182,-0.2068657,-1.63080493,-2.46085178,2024-10-25T19:58:05.000Z,,145931206.65342638,False
5426,Solana,SOL,155.6885099111076,-1.10512704,-5.21370588,8.61500322,2024-10-25T19:58:05.000Z,,470203243.01490617,True
3408,USDC,USDC,0.9261795077022318,-0.00580759,-0.01569312,-0.0051931,2024-10-25T19:58:05.000Z,,34438793364.064995,False
52,XRP,XRP,0.476547585908635,-0.44700154,-3.34586586,-5.75710238,2024-10-25T19:58:05.000Z,100000000000.0,56756356815.0,False
74,Dogecoin,DOGE,0.1249892449326839,0.19834139,-5.21768033,-1.38554137,2024-10-25T19:58:05.000Z,,146517876383.70523,True
1958,TRON,TRX,0.15240775191116,-0.54321864,0.16694892,3.44582779,2024-10-25T19:58:05.000Z,,86488816811.4396,True
11419,Toncoin,TON,4.573980787498575,0.05349893,-4.33228855,-5.45789308,2024-10-25T19:58:05.000Z,,2541831185.7222447,True
1,Bitcoin,BTC,61907.73667415761,0.07737606,-1.21276158,-2.19354344,2024-10-26T04:59:05.000Z,21000000.0,19773081.0,False
1027,Ethereum,ETH,2273.760504246663,0.25759145,-1.32580722,-7.0532497,2024-10-26T04:59:05.000Z,,120399251.19061369,True
825,Tether USDt,USDT,0.924568151443621,0.01230511,-0.07761832,-0.12695664,2024-10-26T04:59:05.000Z,,120304469780.02702,True
1839,BNB,BNB,536.2012475164468,0.17970508,-2.055628,-3.07556862,2024-10-26T04:59:05.000Z,,145931186.03958544,False
5426,Solana,SOL,153.89720466274218,0.4467975,-3.91550031,7.72671812,2024-10-26T04:59:05.000Z,,470199226.3239841,True
3408,USDC,USDC,0.9257937164936966,-0.00758674,-0.01268525,-0.00123338,2024-10-26T04:59:05.000Z,,34699799177.252945,False
52,XRP,XRP,0.4747991884787805,0.28878889,-2.51096314,-6.18180083,2024-10-26T04:59:05.000Z,100000000000.0,56811862950.0,False
74,Dogecoin,DOGE,0.1236426621032551,-0.10939488,-4.26063763,-6.66265077,2024-10-26T04:59:05.000Z,,146523016383.7052,True
1958,TRON,TRX,0.1517667366547207,0.18779136,-1.07772322,3.57843522,2024-10-26T04:59:05.000Z,,86488499743.96408,True
11419,Toncoin,TON,4.519270716456751,0.27987757,-3.75091189,-7.1894306,2024-10-26T04:59:05.000Z,,2541854567.017756,True
1,Bitcoin,BTC,62045.4841850835,-0.07477009,-1.13815364,-1.9419193,2024-10-26T09:59:05.000Z,21000000.0,19773168.0,False
1027,Ethereum,ETH,2280.352641306749,-0.2276266,-2.92701029,-6.92025084,2024-10-26T09:59:05.000Z,,120399251.19061369,True
825,Tether USDt,USDT,0.9247727729538782,-0.00159873,-0.02170056,-0.10800758,2024-10-26T09:59:05.000Z,,120304469780.02702,True
1839,BNB,BNB,539.1939853510447,0.00650937,-1.75303709,-2.60165282,2024-10-26T09:59:05.000Z,,145931168.6061306,False
5426,Solana,SOL,156.5021576678336,0.46663428,-2.23039192,9.20512927,2024-10-26T09:59:05.000Z,,470197248.6061072,True
3408,USDC,USDC,0.925726214459287,-0.02036232,0.00596806,-0.00530278,2024-10-26T09:59:05.000Z,,34696305127.59439,False
52,XRP,XRP,0.4755581479712517,0.0191985,-2.32236638,-5.9456485,2024-10-26T09:59:05.000Z,100000000000.0,56811862950.0,False
74,Dogecoin,DOGE,0.1247030312124785,-0.00803237,-3.21070791,-7.07884245,2024-10-26T09:59:05.000Z,,146525836383.70526,True
1958,TRON,TRX,0.1525570712844378,0.13823458,-0.2018516,4.20168773,2024-10-26T09:59:05.000Z,,86487677516.54471,True
11419,Toncoin,TON,4.60104528957725,-0.0497577,-2.91424405,-5.67238898,2024-10-26T09:59:05.000Z,,2541865601.731362,True
